bairro,zona,area,quartos,aluguel
Vila Pompéia ,-oeste,220,3,5000
Vila Pompéia ,-oeste,266,,6800
Vila Pompéia ,-oeste,160,3,5000
Vila Pompéia ,-oeste,80,5,3200
Vila Pompéia ,-oeste,480,,6000
Vila Pompéia ,-oeste,260,7,7500
Vila Pompéia ,-oeste,120,3,4500
Vila Pompéia ,-oeste,106,3,6200
Vila Pompéia ,-oeste,100,2,4500
Vila Pompéia ,-oeste,110,3,5500
Vila Pompéia ,-oeste,145,4,5990
Vila Pompéia ,-oeste,200,2,2800
Vila Pompéia ,-oeste,260,4,6200
Vila Pompéia ,-oeste,500,10,12000
Vila Pompéia ,-oeste,110,,8000
Vila Pompéia ,-oeste,100,1,7500
Vila Pompéia ,-oeste,150,3,8600
Lapa ,-oeste,120,,3500
Lapa ,-oeste,650,6,10000
Lapa ,-oeste,130,,2500
Lapa ,-oeste,205,3,2000
Lapa ,-oeste,373,,8000
Lapa ,-oeste,318,3,9500
Lapa ,-oeste,594,12,12000
Lapa ,-oeste,300,3,4000
Lapa ,-oeste,320,2,10000
Lapa ,-oeste,400,7,12000
Lapa ,-oeste,481,12,25000
Lapa ,-oeste,300,5,15000
Lapa ,-oeste,300,4,6000
Lapa ,-oeste,120,4,3000
Lapa ,-oeste,150,3,4200
Lapa ,-oeste,120,1,3600
Lapa ,-oeste,110,,4500
Lapa ,-oeste,152,5,3000
Lapa ,-oeste,740,6,8000
Lapa ,-oeste,130,3,4200
Lapa ,-oeste,192,4,6000
Fazenda Morumbi ,-oeste,391,4,5500
Fazenda Morumbi ,-oeste,600,4,24000
Fazenda Morumbi ,-oeste,470,4,25000
Fazenda Morumbi ,-oeste,961,8,28000
Fazenda Morumbi ,-oeste,470,4,25000
Fazenda Morumbi ,-oeste,961,8,28000
Fazenda Morumbi ,-oeste,2000,6,10000
Fazenda Morumbi ,-oeste,2000,6,10000
Fazenda Morumbi ,-oeste,550,3,10000
Fazenda Morumbi ,-oeste,750,4,15000
Fazenda Morumbi ,-oeste,391,4,5500
Fazenda Morumbi ,-oeste,450,4,16000
Fazenda Morumbi ,-oeste,400,4,25000
Fazenda Morumbi ,-oeste,550,3,10000
Fazenda Morumbi ,-oeste,1200,4,30000
Fazenda Morumbi ,-oeste,750,4,15000
Fazenda Morumbi ,-oeste,638,3,16000
Fazenda Morumbi ,-oeste,550,3,10000
Fazenda Morumbi ,-oeste,454,4,13000
Fazenda Morumbi ,-oeste,550,4,10000
Fazenda Morumbi ,-oeste,550,3,10000
Vila Anglo Brasileira ,-oeste,30,,1200
Vila Anglo Brasileira ,-oeste,30,,1200
Vila Anglo Brasileira ,-oeste,25,1,1300
Vila Anglo Brasileira ,-oeste,330,,6000
Vila Anglo Brasileira ,-oeste,119,6,7000
Vila Anglo Brasileira ,-oeste,130,2,2500
Vila Anglo Brasileira ,-oeste,188,3,4800
Vila Anglo Brasileira ,-oeste,188,11,13000
Vila Anglo Brasileira ,-oeste,160,,5000
