zona,area_quartos,enderecos_lista,aluguel
zona-norte,90 m² construídos2 quartos,"Rua Said Saad, Vila Amália, São Paulo Zona Norte, São Paulo",1.600
zona-norte,52 m² construídos2 quartos,"Rua Brito Peixoto, Vila Primavera, São Paulo Zona Norte, São Paulo",2.147
zona-norte,60 m² construídos2 quartos,"Avenida Paulo Lincoln Do Valle Pontin, Jaçanã, São Paulo Zona Norte, São Paulo",1.500
zona-norte,69 m² construídos2 quartos,"Rua Professor Dário Ribeiro, Vila Prado, São Paulo Zona Norte, São Paulo",1.915
zona-norte,37 m² construídos2 quartos,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",1.700
zona-norte,73 m² construídos3 quartos,"Avenida Santa Inês, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.700
zona-norte,200 m² construídos4 quartos,"Rua Pedro Setti, Vila Paiva, São Paulo Zona Norte, São Paulo",2.750
zona-norte,87 m² construídos3 quartos,"Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2.000
zona-norte,74 m² construídos3 quartos,"Antônio Ribeiro De Morais, Vila Carbone, São Paulo Zona Norte, São Paulo",2.011
zona-norte,50 m² construídos2 quartos,"Rua Ausônia, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.300
zona-norte,56 m² construídos2 quartos,"Rua Henrique Braglia, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",2.306
zona-norte,33 m² construídos1 quarto,"Rua Torres Da Barra, Jardim Peri, São Paulo Zona Norte, São Paulo",1.824
zona-norte,70 m² construídos2 quartos,"Avenida Conceição, Carandiru, São Paulo Zona Norte, São Paulo",2.800
zona-norte,42 m² construídos1 quarto,"Rua Visconde De Parnaíba, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2.158
zona-norte,178 m² construídos3 quartos,"Rua Doutor João Batista Soares De Faria, Santana, São Paulo Zona Norte, São Paulo",3.800
zona-norte,100 m² construídos3 quartos,"Rua Francisco Cid, Vila Palmeiras, São Paulo Zona Norte, São Paulo",2.500
zona-norte,53 m² construídos2 quartos,"Rua Eugênio Lorenzetti, Jardim Peri, São Paulo Zona Norte, São Paulo",1.650
zona-norte,47 m² construídos2 quartos,"Rua Rio Verde, Vila Bruna, São Paulo Zona Norte, São Paulo",1.750
zona-norte,60 m² construídos1 quarto,"Rua Doutor Olavo Egídio, Santana, São Paulo Zona Norte, São Paulo",3.300
zona-norte,61 m² construídos1 quarto,"Rua Doutor Olavo Egídio, Santana, São Paulo Zona Norte, São Paulo",3.300
zona-norte,53 m² construídos2 quartos,"Rua Duarte De Azevedo, Santana, São Paulo Zona Norte, São Paulo",1.450
zona-norte,120 m² construídos3 quartos,"Rua Copacabana, Santa Teresinha, São Paulo Zona Norte, São Paulo",3.800
zona-norte,67 m² construídos3 quartos,"Rua Zike Tuma, Jardim Palmares (zona Norte), São Paulo Zona Norte, São Paulo",1.590
zona-norte,75 m² construídos2 quartos,"Rua Relíquia, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",1.850
zona-norte,50 m² construídos2 quartos,"Rua Pedro Cacunda, Jardim São Paulo, São Paulo Zona Norte, São Paulo",2.300
