zona_bairro,area_quartos,enderecos_lista,aluguel
Pinheiros-zona-oeste,491 m² construídos4 quartos,"Av Professor Fonseca Rodrigues, Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",24.000
Pinheiros-zona-oeste,425 m² construídos2 quartos,"R Alves Guimarães, Pinheiros, São Paulo Zona Oeste, São Paulo",26.000
Perdizes-zona-oeste,132 m² construídos3 quartos,"Rua Joao Ramalho, Perdizes, São Paulo Zona Oeste, São Paulo",4.500
Perdizes-zona-oeste,270 m² construídos4 quartos,"Perdizes, São Paulo Zona Oeste, São Paulo",15.000
Perdizes-zona-oeste,110 m² construídos5 quartos,"Rua Doutor Franco Da Rocha, Perdizes, São Paulo Zona Oeste, São Paulo",7.000
Perdizes-zona-oeste,50 m² construídos1 quarto,"Perdizes, São Paulo Zona Oeste, São Paulo",1.300
Perdizes-zona-oeste,180 m² construídos3 quartos,"Rua Aimbere, Perdizes, São Paulo Zona Oeste, São Paulo",6.800
Perdizes-zona-oeste,350 m² construídos,"Rua Ministro Godoi, Perdizes, São Paulo Zona Oeste, São Paulo",10.000
Perdizes-zona-oeste,132 m² construídos,"Rua Joao Ramalho, Perdizes, São Paulo Zona Oeste, São Paulo",3.700
Perdizes-zona-oeste,280 m² construídos,"Rua Paraguassu, Perdizes, São Paulo Zona Oeste, São Paulo",9.500
Perdizes-zona-oeste,72 m² construídos3 quartos,"Rua Tavares Bastos, Perdizes, São Paulo Zona Oeste, São Paulo",3.900
Perdizes-zona-oeste,170 m² construídos4 quartos,"R Ministro Godói, Perdizes, São Paulo Zona Oeste, São Paulo",5.500
Perdizes-zona-oeste,360 m² construídos6 quartos,"R Monte Alegre, Perdizes, São Paulo Zona Oeste, São Paulo",13.200
Perdizes-zona-oeste,150 m² construídos,"Rua Monte Alegre, Perdizes, São Paulo Zona Oeste, São Paulo",3.500
Perdizes-zona-oeste,200 m² construídos2 quartos,"Perdizes, São Paulo Zona Oeste, São Paulo",7.000
Perdizes-zona-oeste,150 m² construídos3 quartos,"Perdizes, São Paulo Zona Oeste, São Paulo",5.000
Perdizes-zona-oeste,170 m² construídos5 quartos,"Rua Monte Alegre, Perdizes, São Paulo Zona Oeste, São Paulo",8.500
Perdizes-zona-oeste,300 m² construídos,"Avenida Sumare, Perdizes, São Paulo Zona Oeste, São Paulo",25.000
Perdizes-zona-oeste,248 m² construídos4 quartos,"Rua Iperoig, Perdizes, São Paulo Zona Oeste, São Paulo",2.300.000
Perdizes-zona-oeste,600 m² construídos6 quartos,"Perdizes, São Paulo Zona Oeste, São Paulo",12.250
Perdizes-zona-oeste,300 m² construídos,"Rua Cotoxo, Perdizes, São Paulo Zona Oeste, São Paulo",10.000
Perdizes-zona-oeste,400 m² construídos4 quartos,"Rua Wanderley, Perdizes, São Paulo Zona Oeste, São Paulo",15.000
Perdizes-zona-oeste,325 m² construídos,"Rua Coronel Melo De Oliveira, Perdizes, São Paulo Zona Oeste, São Paulo",13.000
Água-Branca-zona-oeste,680 m² construídos,"Água Branca, São Paulo Zona Oeste, São Paulo",23.000
Água-Branca-zona-oeste,300 m² construídos,"Avenida Antartica, Água Branca, São Paulo Zona Oeste, São Paulo",3.500
Água-Branca-zona-oeste,600 m² construídos,"Água Branca, São Paulo Zona Oeste, São Paulo",8.000
Água-Branca-zona-oeste,300 m² construídos,"Água Branca, São Paulo Zona Oeste, São Paulo",20.000
Água-Branca-zona-oeste,300 m² construídos4 quartos,"Rua Quarahim, Água Branca, São Paulo Zona Oeste, São Paulo",3.500
Água-Branca-zona-oeste,290 m² construídos,"Rua Doutor Rafael Correia, Água Branca, São Paulo Zona Oeste, São Paulo",5.500
Água-Branca-zona-oeste,290 m² construídos,"Rua Doutor Rafael Correia, Água Branca, São Paulo Zona Oeste, São Paulo",5.500
Água-Branca-zona-oeste,230 m² construídos,"Água Branca, São Paulo Zona Oeste, São Paulo",15.000
Água-Branca-zona-oeste,350 m² construídos,"Rua Doutor Costa Junior, Água Branca, São Paulo Zona Oeste, São Paulo",17.000
Água-Branca-zona-oeste,140 m² construídos3 quartos,"Embaixador Leão Veloso, Água Branca, São Paulo Zona Oeste, São Paulo",3.300
Água-Branca-zona-oeste,200 m² construídos1 quarto,"R Ministro Godói, Perdizes, São Paulo Zona Oeste, São Paulo",5.500
Água-Branca-zona-oeste,138 m² construídos3 quartos,"Rua Duílio, 386, Água Branca, São Paulo Zona Oeste, São Paulo",3.500
Água-Branca-zona-oeste,299 m² construídos8 quartos,"R Melo Palheta, Água Branca, São Paulo Zona Oeste, São Paulo",7.000
Água-Branca-zona-oeste,250 m² construídos3 quartos,"Barao De Tefe, Água Branca, São Paulo Zona Oeste, São Paulo",10.000
Água-Branca-zona-oeste,320 m² construídos,"Sob Consulta, Água Branca, São Paulo Zona Oeste, São Paulo",11.000
Água-Branca-zona-oeste,192 m² construídos,"Padre Antonio Tomas, Água Branca, São Paulo Zona Oeste, São Paulo",5.000
Água-Branca-zona-oeste,138 m² construídos3 quartos,"Rua Duílio, 386, Água Branca, São Paulo Zona Oeste, São Paulo",4.300
Água-Branca-zona-oeste,352 m² construídos,"Água Branca, São Paulo Zona Oeste, São Paulo",8.000
Água-Branca-zona-oeste,320 m² construídos,"Água Branca, São Paulo Zona Oeste, São Paulo",6.510
Água-Branca-zona-oeste,290 m² construídos3 quartos,"Água Branca, São Paulo Zona Oeste, São Paulo",9.010
Água-Branca-zona-oeste,470 m² construídos12 quartos,"Dona Germaine Burchard, Água Branca, São Paulo Zona Oeste, São Paulo",16.500
Cidade-Moncoes-zona-oeste,206 m² construídos,"Rua Hollywood, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",10.000
Cidade-Moncoes-zona-oeste,109 m² totais2 quartos,"Rua Pensilvania, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",2.800
Cidade-Moncoes-zona-oeste,150 m² construídos2 quartos,"R Guaraiúva, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",3.700
Cidade-Moncoes-zona-oeste,400 m² construídos4 quartos,"R Conceição De Monte Alegre, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",8.900
Cidade-Moncoes-zona-oeste,370 m² construídos4 quartos,"R Conceição De Monte Alegre, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",8.900
Cidade-Moncoes-zona-oeste,210 m² construídos4 quartos,"R. Flórida, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",8.500
Cidade-Moncoes-zona-oeste,210 m² construídos4 quartos,"R. Flórida, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",8.500
